name,title,description,year,media
I. La segunda primavera.jpg, II. La segunda primavera, 2019
II. especial san valentin.jpg, II Especial San VAlentin, 2019
Sobre Pantallas3.jpg, III Sobre Pantallas, 2019
IV Del pescado.jpg, IV Del pescado.jpg, 2019
V. Del vino de venit.jpg, V. Del vino de venir.jpg, 2019
VI. De otras lenguas.jpg, VI. De otras lenguas, 2019
VII. soltar te dicen.jpg, VII. soltar te dicen.jpg, 2019
IX. sobre pantallas bis.jpg, IX. sobre pantallas bis, 2019
X.jpg, X, 2019
